dimension,key,n,successes,success_rate,mean_requirement_accuracy,catastrophic_failures,catastrophic_rate,candidate_attempts,rejections,rejection_rate,budget_exhausted,model_call_count,retry_call_count,timeout_count,parser_failure_count,model_error_count,input_tokens,output_tokens,reasoning_tokens,cached_tokens,cache_write_tokens,total_tokens,tokens_per_success,known_cost_usd,known_cost_per_success_usd,aggregate_output_tokens_per_model_second
arm,A_DIRECT,324,279,0.8611111111111112,0.9387727584486844,8,0.024691358024691357,324,0,0.0,0,324,0,0,0,0,163251,34001,0,0,0,197252,706.9964157706094,,,63.626106972349135
arm,B_DIRECT_CHECKED,324,304,0.9382716049382716,0.9382716049382716,0,0.0,390,86,0.2205128205128205,0,390,0,0,0,0,199017,41441,0,0,0,240458,790.9802631578947,,,76.53831388802939
arm,C_SYSTEM,540,317,0.587037037037037,0.8792519055019056,20,0.037037037037037035,540,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
arm,D_INVERTED,1620,1177,0.7265432098765432,0.8945334124037827,42,0.025925925925925925,2332,823,0.35291595197255576,64,2332,0,0,0,0,1785644,124080,0,0,0,1909724,1622.53525913339,,,59.530489391930544
arm,E_RANDOM_AUDITOR,540,271,0.5018518518518519,0.8838085576974466,11,0.020370370370370372,941,483,0.5132837407013815,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
arm,F_ORACLE_AUDITOR,540,446,0.825925925925926,0.9586935132768466,0,0.0,904,458,0.5066371681415929,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
model,llama3.1:8b,756,601,0.794973544973545,0.9284388451055117,20,0.026455026455026454,951,220,0.231335436382755,15,951,0,0,0,0,655180,49758,0,0,0,704938,1172.9417637271215,,,72.67984312288722
model,phi4-mini:3.8b,756,559,0.7394179894179894,0.8824023235729586,30,0.03968253968253968,983,270,0.2746693794506612,14,983,0,0,0,0,671338,69198,0,0,0,740536,1324.7513416815743,,,118.85654314621277
model,qwen3.5:9b-q8_0,2376,1634,0.6877104377104377,0.908273453538605,31,0.013047138047138047,3497,1360,0.3889047755218759,35,1112,0,0,0,0,821394,80566,0,0,0,901960,551.9951040391677,,,42.552713405955494
family,policy,1296,836,0.6450617283950617,0.8823504234962569,55,0.04243827160493827,1819,652,0.35843870258383725,3,1010,0,0,0,0,554888,66562,0,0,0,621450,743.3612440191388,,,61.10233249848298
family,reconciliation,1296,934,0.720679012345679,0.8902236095523132,23,0.017746913580246913,1826,610,0.33406352683461116,53,1028,0,0,0,0,947251,70659,0,0,0,1017910,1089.8394004282654,,,65.1499724797322
family,state,1296,1024,0.7901234567901234,0.9489179801679801,3,0.0023148148148148147,1786,588,0.3292273236282195,8,1008,0,0,0,0,645773,62301,0,0,0,708074,691.478515625,,,63.17106252351761
complexity,1,972,749,0.7705761316872428,0.8467078189300411,0,0.0,1343,431,0.3209233060312733,0,753,0,0,0,0,211595,33016,0,0,0,244611,326.5834445927904,,,58.19333788093903
complexity,2,972,721,0.7417695473251029,0.9339506172839506,21,0.021604938271604937,1344,456,0.3392857142857143,0,754,0,0,0,0,391053,43276,0,0,0,434329,602.3980582524272,,,64.02303248923334
complexity,3,972,678,0.6975308641975309,0.9415927722254882,20,0.0205761316872428,1385,508,0.3667870036101083,8,776,0,0,0,0,617126,52542,0,0,0,669668,987.7109144542773,,,65.33237083231595
complexity,4,972,646,0.6646090534979424,0.906404809182587,40,0.0411522633744856,1359,455,0.33480500367917587,56,763,0,0,0,0,928138,70688,0,0,0,998826,1546.170278637771,,,63.533016001881315
quality,0.2,1296,768,0.5925925925925926,0.8617043900030011,45,0.034722222222222224,1930,802,0.4155440414507772,27,1363,0,0,0,0,869303,115883,0,0,0,985186,1282.7942708333333,,,65.32657852607565
quality,0.4,648,397,0.6126543209876543,0.8888745770690215,25,0.038580246913580245,983,393,0.3997965412004069,17,482,0,0,0,0,369188,26673,0,0,0,395861,997.1309823677582,,,56.68458136666897
quality,0.6,648,453,0.6990740740740741,0.8911067627502813,4,0.006172839506172839,958,349,0.36430062630480164,13,493,0,0,0,0,376347,26237,0,0,0,402584,888.7064017660044,,,62.491342104551094
quality,0.8,648,569,0.8780864197530864,0.9625620136036802,4,0.006172839506172839,810,184,0.2271604938271605,3,368,0,0,0,0,274573,16139,0,0,0,290712,510.91739894551847,,,60.969337699831776
quality,0.95,648,607,0.9367283950617284,0.9770318930041152,3,0.004629629629629629,750,122,0.16266666666666665,4,340,0,0,0,0,258501,14590,0,0,0,273091,449.9028006589786,,,63.12522730752829
seed,101,1296,912,0.7037037037037037,0.8935561202343609,30,0.023148148148148147,1815,634,0.3493112947658402,17,1011,0,0,0,0,698916,65406,0,0,0,764322,838.0723684210526,,,63.604250912973164
seed,211,1296,943,0.7276234567901234,0.9163921319592617,19,0.014660493827160493,1834,646,0.35223555070883317,24,1037,0,0,0,0,727451,70409,0,0,0,797860,846.0869565217391,,,62.29877629191798
seed,307,1296,939,0.7245370370370371,0.9115437610229277,32,0.024691358024691357,1782,570,0.31986531986531985,23,998,0,0,0,0,721545,63707,0,0,0,785252,836.2641107561235,,,63.603409641863344
epoch,0,1296,943,0.7276234567901234,0.9024499934222157,21,0.016203703703703703,1821,620,0.3404722679846238,15,1019,0,0,0,0,688805,62880,0,0,0,751685,797.1208907741251,,,61.23713144986186
epoch,1,1296,948,0.7314814814814815,0.9066445899779233,20,0.015432098765432098,1805,606,0.33573407202216066,28,1020,0,0,0,0,718739,69048,0,0,0,787787,830.9989451476794,,,63.98516060842614
epoch,2,1296,903,0.6967592592592593,0.9123974298164113,40,0.030864197530864196,1805,624,0.34570637119113573,21,1007,0,0,0,0,740368,67594,0,0,0,807962,894.7530454042083,,,64.11963235609822
